2023-11-16 09:13:50; INFO; User Session Manager; 9976; 11140] (286)GameBoxPlugIn into AddChildLibrary OK
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] USH_COMMAND_INIT End
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] UserSessionPipeStreamServer OnRead End, Command = 3
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] UserSessionPipeStreamServer OnRead Start, Command = 3
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] USH_COMMAND_INIT Start
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] StartRunning, Name: DeviceServicePlugin, RunningThread 0000000000000AC4
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] ---Started to run library DeviceServicePlugin OK---
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 11536] Before Library DeviceServicePlugin into AddChildLibrary
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 11536] (25)DeviceServicePlugin into AddChildLibrary OK
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] USH_COMMAND_INIT End
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] UserSessionPipeStreamServer OnRead End, Command = 3
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] UserSessionPipeStreamServer OnRead Start, Command = 3
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] USH_COMMAND_INIT Start
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] StartRunning, Name: Aura Pluing, RunningThread 0000000000000AC8
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] ---Started to run library Aura Pluing OK---
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 11560] Before Library Aura Pluing into AddChildLibrary
2023-11-16 09:13:50; WARNING; Aura Pluing; 9976; 11560] [AuraPlugin][Initial] Start
2023-11-16 09:13:50; WARNING; Aura Pluing; 9976; 11560] [AuraPlugin][Initial] !!!!!!!!! AuraPlugin START !!!!!!!!! version = 5.6.2.0
2023-11-16 09:13:50; INFO; Aura Pluing; 9976; 11560] Didn't support Modern Standby
2023-11-16 09:13:50; INFO; Aura Pluing; 9976; 11560] CallLibrary Start
